symbol,name,master_exchange,sector,industry,price_proxy,previous_close,share_volume,market_cap,one_yr_target,url,json_path
BRO,"BROWN & BROWN, INC.",NYSE,Finance,Specialty Insurers,58.52,58.52,2550312.0,19597964167.0,72.0,https://api.nasdaq.com/api/quote/BRO/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BRO/nasdaq_summary.json
BROS,Dutch Bros Inc.,NYSE,Consumer Discretionary,Restaurants,53.46,53.46,2878415.0,9102666946.0,75.5,https://api.nasdaq.com/api/quote/BROS/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BROS/nasdaq_summary.json
BRSL,Brightstar Lottery PLC,NYSE,Consumer Discretionary,Services-Misc. Amusement & Recreation,11.05,11.05,2015267.0,2066400000.0,15.0,https://api.nasdaq.com/api/quote/BRSL/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BRSL/nasdaq_summary.json
BRX,Brixmor Property Group Inc.,NYSE,Real Estate,Real Estate Investment Trusts,30.86,30.86,3256196.0,9462841268.0,33.0,https://api.nasdaq.com/api/quote/BRX/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BRX/nasdaq_summary.json
BSX,BOSTON SCIENTIFIC CORP,NYSE,Health Care,Medical/Dental Instruments,57.15,57.15,11739979.0,85881602243.0,84.5,https://api.nasdaq.com/api/quote/BSX/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BSX/nasdaq_summary.json
BTI,British American Tobacco p.l.c.,NYSE,Health Care,Medicinal Chemicals and Botanical Products,65.73,65.73,2714038.0,142605394037.0,68.5,https://api.nasdaq.com/api/quote/BTI/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BTI/nasdaq_summary.json
BTU,PEABODY ENERGY CORP,NYSE,Energy,Coal Mining,24.41,24.41,2580459.0,2991025412.0,37.0,https://api.nasdaq.com/api/quote/BTU/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BTU/nasdaq_summary.json
BW,"Babcock & Wilcox Enterprises, Inc.",NYSE,Industrials,Building Products,20.54,20.54,3254261.0,2593486019.0,23.0,https://api.nasdaq.com/api/quote/BW/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BW/nasdaq_summary.json
BWA,BORGWARNER INC,NYSE,Consumer Discretionary,Auto Parts:O.E.M.,63.55,63.55,4194707.0,13500665417.0,68.0,https://api.nasdaq.com/api/quote/BWA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BWA/nasdaq_summary.json
BXP,"BXP, Inc.",NYSE,Real Estate,Real Estate Investment Trusts,60.13,60.13,1062463.0,9614891903.0,67.0,https://api.nasdaq.com/api/quote/BXP/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BXP/nasdaq_summary.json
CAE,CAE INC,NYSE,Miscellaneous,Industrial Machinery/Components,26.94,26.94,4671509.0,7453009891.0,36.5,https://api.nasdaq.com/api/quote/CAE/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CAE/nasdaq_summary.json
CAG,CONAGRA BRANDS INC.,NYSE,Consumer Staples,Packaged Foods,13.38,13.38,11621997.0,6487607835.0,15.0,https://api.nasdaq.com/api/quote/CAG/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CAG/nasdaq_summary.json
CALY,Callaway Golf Co,NYSE,Consumer Discretionary,Recreational Games/Products/Toys,15.88,15.88,6561800.0,2764671319.0,17.5,https://api.nasdaq.com/api/quote/CALY/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CALY/nasdaq_summary.json
CARR,CARRIER GLOBAL Corp,NYSE,Industrials,Industrial Machinery/Components,62.18,62.18,4927017.0,52775182709.0,76.0,https://api.nasdaq.com/api/quote/CARR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CARR/nasdaq_summary.json
CC,Chemours Co,NYSE,Industrials,Major Chemicals,21.44,21.44,2042307.0,3213571641.0,25.0,https://api.nasdaq.com/api/quote/CC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CC/nasdaq_summary.json
CCL,Carnival Corp Ltd.,NYSE,Consumer Discretionary,Marine Transportation,26.18,26.18,17161642.0,37099851757.0,35.0,https://api.nasdaq.com/api/quote/CCL/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CCL/nasdaq_summary.json
CDE,"Coeur Mining, Inc.",NYSE,Basic Materials,Precious Metals,17.83,17.83,13089829.0,18238424805.0,26.5,https://api.nasdaq.com/api/quote/CDE/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CDE/nasdaq_summary.json
CE,Celanese Corp,NYSE,Industrials,Major Chemicals,52.9,52.9,1729506.0,5745220418.0,72.0,https://api.nasdaq.com/api/quote/CE/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CE/nasdaq_summary.json
CFG,CITIZENS FINANCIAL GROUP INC/RI,NYSE,Finance,Major Banks,62.78,62.78,2741202.0,26595045332.0,72.5,https://api.nasdaq.com/api/quote/CFG/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CFG/nasdaq_summary.json
CGAU,Centerra Gold Inc.,NYSE,Basic Materials,Precious Metals,16.61,16.61,1152904.0,3289228987.0,24.09,https://api.nasdaq.com/api/quote/CGAU/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CGAU/nasdaq_summary.json
CHWY,"Chewy, Inc.",NYSE,Consumer Discretionary,Catalog/Specialty Distribution,19.93,19.93,6943648.0,8637713464.0,43.5,https://api.nasdaq.com/api/quote/CHWY/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CHWY/nasdaq_summary.json
CLF,CLEVELAND-CLIFFS INC.,NYSE,Basic Materials,Metal Mining,10.7,10.7,16229406.0,6405756598.0,10.0,https://api.nasdaq.com/api/quote/CLF/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CLF/nasdaq_summary.json
CMBT,CMB.TECH NV,NYSE,Consumer Discretionary,Marine Transportation,17.16,17.16,1646809.0,5324223352.0,16.0,https://api.nasdaq.com/api/quote/CMBT/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CMBT/nasdaq_summary.json
