symbol,name,master_exchange,sector,industry,price_proxy,previous_close,share_volume,market_cap,one_yr_target,url,json_path,barchart_url,barchart_fetch_ok,barchart_fetch_round,barchart_fetch_error,barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank,barchart_iv_high,barchart_iv_low,barchart_expected_move,barchart_missing_fields,options_liquidity_source,options_liquidity_fetch_ok,options_liquidity_fetch_error,options_volume,open_interest,atm_bid_ask_spread,legacy_stage1_market_cap,legacy_stage1_reasons,options_liquidity_missing_fields,stage1_step4_implied_volatility,stage1_step4_min_implied_volatility,stage1_step4_min_options_volume,stage1_step4_min_open_interest,stage1_step4_min_market_cap,stage1_step4_market_cap_checked,stage1_step4_verdict,stage1_step4_fail_reason
CSIQ,Canadian Solar Inc.,NASDAQ,Technology,Semiconductors,18.1,18.1,3248167.0,1280379749.0,15.15,https://api.nasdaq.com/api/quote/CSIQ/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CSIQ/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/CSIQ/overview,TRUE,0,,96.88,88.21,85.0,68.3,116.62,54.35,,,cache,TRUE,,2319,6798,0.19999999999999996,1280000000.0,,,96.88,75.0,1000,1000,1000000000.0,1280000000.0,PASS,
ENPH,"Enphase Energy, Inc.",NASDAQ,Technology,Semiconductors,62.34,62.34,10996353.0,8439040027.0,37.0,https://api.nasdaq.com/api/quote/ENPH/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ENPH/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/ENPH/overview,TRUE,0,,101.31,94.02,99.0,90.39,106.4,53.42,,,cache,TRUE,,9163,21962,0.4500000000000002,8439999999.999999,,,101.31,75.0,1000,1000,1000000000.0,8439999999.999999,PASS,
FCEL,FUELCELL ENERGY INC,NASDAQ,Energy,Industrial Machinery/Components,26.38,26.38,12077530.0,1324976429.0,7.62,https://api.nasdaq.com/api/quote/FCEL/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/FCEL/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/FCEL/overview,TRUE,0,,172.84,173.56,96.0,74.46,206.84,73.72,,,cache,TRUE,,7473,18860,0.5499999999999998,1320000000.0,,,172.84,75.0,1000,1000,1000000000.0,1320000000.0,PASS,
FLNC,"Fluence Energy, Inc.",NASDAQ,Miscellaneous,Industrial Machinery/Components,20.19,20.19,10969377.0,3960183368.0,17.0,https://api.nasdaq.com/api/quote/FLNC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/FLNC/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/FLNC/overview,TRUE,0,,117.11,148.38,79.0,64.85,140.36,74.2,,,cache,TRUE,,14318,39451,0.25,3960000000.0,,,117.11,75.0,1000,1000,1000000000.0,3960000000.0,PASS,
FLY,Firefly Aerospace Inc.,NASDAQ,Industrials,Military/Government/Technical,42.86,42.86,8823162.0,7931643242.0,36.0,https://api.nasdaq.com/api/quote/FLY/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/FLY/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/FLY/overview,TRUE,0,,123.83,109.86,75.0,69.97,147.81,67.93,,,cache,TRUE,,5397,7262,1.6999999999999997,7930000000.0,,,123.83,75.0,1000,1000,1000000000.0,7930000000.0,PASS,
FSLY,"Fastly, Inc.",NASDAQ,Technology,Computer Software: Prepackaged Software,16.4,16.4,5942212.0,2554080000.0,24.0,https://api.nasdaq.com/api/quote/FSLY/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/FSLY/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/FSLY/overview,TRUE,0,,80.35,170.76,49.0,26.07,177.58,46.06,,,cache,TRUE,,2596,16908,0.19999999999999996,2550000000.0,,,80.35,75.0,1000,1000,1000000000.0,2550000000.0,PASS,
GLXY,Galaxy Digital Inc.,NASDAQ,Finance,Investment Bankers/Brokers/Service,29.57,29.57,4068355.0,11190985955.0,42.5,https://api.nasdaq.com/api/quote/GLXY/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/GLXY/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/GLXY/overview,TRUE,0,,82.81,68.69,14.0,20.07,120.28,73.4,,,cache,TRUE,,6025,27434,0.2100000000000002,11170000000.0,,,82.81,75.0,1000,1000,1000000000.0,11170000000.0,PASS,
GTLB,Gitlab Inc.,NASDAQ,Technology,Computer Software: Prepackaged Software,25.62,25.62,3052961.0,4540830012.0,28.0,https://api.nasdaq.com/api/quote/GTLB/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/GTLB/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/GTLB/overview,TRUE,0,,89.27,66.78,98.0,88.09,95.88,40.42,,,cache,TRUE,,3010,2300,0.7,4510000000.0,,,89.27,75.0,1000,1000,1000000000.0,4510000000.0,PASS,
HIMX,"Himax Technologies, Inc.",NASDAQ,Technology,Semiconductors,19.89,19.89,4287841.0,3669921231.0,23.7,https://api.nasdaq.com/api/quote/HIMX/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/HIMX/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/HIMX/overview,TRUE,0,,95.88,116.04,97.0,81.99,107.76,41.78,,,cache,TRUE,,5200,56849,0.40000000000000013,3670000000.0,,,95.88,75.0,1000,1000,1000000000.0,3670000000.0,PASS,
HLIT,HARMONIC INC.,NASDAQ,Technology,Radio And Television Broadcasting And Communications Equipment,12.7,12.7,12974029.0,1649145827.0,15.0,https://api.nasdaq.com/api/quote/HLIT/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/HLIT/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/HLIT/overview,TRUE,0,,100.38,65.08,91.0,54.39,167.36,20.5,,,cache,TRUE,,11690,5132,0.20000000000000018,1650000000.0,,,100.38,75.0,1000,1000,1000000000.0,1650000000.0,PASS,
