symbol,name,master_exchange,sector,industry,price_proxy,previous_close,share_volume,market_cap,one_yr_target,url,json_path,barchart_url,barchart_fetch_ok,barchart_fetch_round,barchart_fetch_error,barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank,barchart_iv_high,barchart_iv_low,barchart_expected_move,barchart_missing_fields,options_liquidity_source,options_liquidity_fetch_ok,options_liquidity_fetch_error,options_volume,open_interest,atm_bid_ask_spread,legacy_stage1_market_cap,legacy_stage1_reasons,options_liquidity_missing_fields,stage1_step4_implied_volatility,stage1_step4_min_implied_volatility,stage1_step4_min_options_volume,stage1_step4_min_open_interest,stage1_step4_min_market_cap,stage1_step4_market_cap_checked,stage1_step4_verdict,stage1_step4_fail_reason
SMCI,"Super Micro Computer, Inc.",NASDAQ,Technology,Computer Manufacturing,33.46,33.46,39440985.0,21398469590.0,34.0,https://api.nasdaq.com/api/quote/SMCI/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/SMCI/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/SMCI/overview,TRUE,0,,76.05,89.17,62.0,42.18,109.04,51.99,,,cache,TRUE,,166375,87456,0.1100000000000001,21400000000.0,,,76.05,75.0,1000,1000,1000000000.0,21400000000.0,PASS,
USAR,"USA Rare Earth, Inc.",NASDAQ,Basic Materials,Metal Mining,24.29,24.29,18253936.0,5642794760.0,35.0,https://api.nasdaq.com/api/quote/USAR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/USAR/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/USAR/overview,TRUE,0,,105.2,109.17,35.0,15.91,190.34,89.09,,,cache,TRUE,,15579,23261,0.1100000000000001,5640000000.0,,,105.2,75.0,1000,1000,1000000000.0,5640000000.0,PASS,
VIAV,VIAVI SOLUTIONS INC.,NASDAQ,Technology,Semiconductors,48.98,48.98,4588740.0,11580778644.0,65.0,https://api.nasdaq.com/api/quote/VIAV/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/VIAV/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/VIAV/overview,TRUE,0,,88.77,68.65,90.0,69.65,115.13,28.28,,,cache,TRUE,,3857,61361,0.5999999999999996,12000000000.0,,,88.77,75.0,1000,1000,1000000000.0,12000000000.0,PASS,
WULF,TERAWULF INC.,NASDAQ,Technology,EDP Services,22.92,22.92,20787625.0,11308054959.0,30.0,https://api.nasdaq.com/api/quote/WULF/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/WULF/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/WULF/overview,TRUE,0,,88.37,74.26,8.0,10.54,163.28,79.55,,,cache,TRUE,,39606,53625,0.11999999999999988,11310000000.0,,,88.37,75.0,1000,1000,1000000000.0,11310000000.0,PASS,
WYFI,"WhiteFiber, Inc.",NASDAQ,Finance,Finance: Consumer Services,29.55,29.55,1805681.0,1165763181.0,33.5,https://api.nasdaq.com/api/quote/WYFI/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/WYFI/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/WYFI/overview,TRUE,0,,142.93,128.64,88.0,61.75,168.1,102.29,,,cache,TRUE,,7932,15056,0.5,1170000000.0,,,142.93,75.0,1000,1000,1000000000.0,1170000000.0,PASS,
XE,"X-Energy, Inc.",NASDAQ,Industrials,Metal Fabrications,29.0,29.0,2874397.0,11193441711.0,38.0,https://api.nasdaq.com/api/quote/XE/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/XE/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/XE/overview,TRUE,2,,107.5,,16.0,11.31,130.53,104.56,,barchart_historical_volatility,cache,TRUE,,1723,19476,0.6000000000000001,11460000000.0,,,107.5,75.0,1000,1000,1000000000.0,11460000000.0,PASS,
AMPX,"Amprius Technologies, Inc.",NYSE,Miscellaneous,Industrial Machinery/Components,15.3,15.3,7423540.0,2270283535.0,22.0,https://api.nasdaq.com/api/quote/AMPX/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AMPX/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/AMPX/overview,TRUE,0,,89.88,118.93,10.0,14.49,133.06,82.56,,,cache,TRUE,,5422,6274,0.4,2270000000.0,,,89.88,75.0,1000,1000,1000000000.0,2270000000.0,PASS,
BKSY,BlackSky Technology Inc.,NYSE,Technology,Radio And Television Broadcasting And Communications Equipment,44.65,44.65,2048128.0,1776409075.0,35.5,https://api.nasdaq.com/api/quote/BKSY/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BKSY/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/BKSY/overview,TRUE,0,,126.5,133.78,86.0,68.18,153.38,68.89,,,cache,TRUE,,1756,8395,1.4999999999999991,1780000000.0,,,126.5,75.0,1000,1000,1000000000.0,1780000000.0,PASS,
FIG,"Figma, Inc.",NYSE,Technology,Computer Software: Prepackaged Software,21.59,21.59,16884706.0,11999431973.0,36.5,https://api.nasdaq.com/api/quote/FIG/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/FIG/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/FIG/overview,TRUE,0,,82.94,80.81,50.0,35.04,145.44,49.23,,,cache,TRUE,,15086,30458,0.19999999999999996,12000000000.0,,,82.94,75.0,1000,1000,1000000000.0,12000000000.0,PASS,
INFQ,"Infleqtion, Inc.",NYSE,Technology,EDP Services,14.7,14.7,65626226.0,3567519168.0,21.0,https://api.nasdaq.com/api/quote/INFQ/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/INFQ/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/INFQ/overview,TRUE,0,,129.9,129.64,91.0,47.34,167.84,95.79,,,cache,TRUE,,47634,46229,0.5,3570000000.0,,,129.9,75.0,1000,1000,1000000000.0,3570000000.0,PASS,
IONQ,"IonQ, Inc.",NYSE,Technology,EDP Services,58.89,58.89,52650276.0,23754899491.0,65.0,https://api.nasdaq.com/api/quote/IONQ/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/IONQ/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/IONQ/overview,TRUE,0,,107.23,113.11,83.0,59.5,133.43,68.72,,,cache,TRUE,,49138,54090,0.3500000000000001,23750000000.0,,,107.23,75.0,1000,1000,1000000000.0,23750000000.0,PASS,
JOBY,"Joby Aviation, Inc.",NYSE,Industrials,Aerospace,10.4,10.4,36013439.0,10741379944.0,10.25,https://api.nasdaq.com/api/quote/JOBY/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/JOBY/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/JOBY/overview,TRUE,0,,76.39,78.37,31.0,24.13,114.16,64.38,,,cache,TRUE,,11446,23650,0.06,10740000000.0,,,76.39,75.0,1000,1000,1000000000.0,10740000000.0,PASS,
KSS,KOHLS Corp,NYSE,Consumer Discretionary,Department/Specialty Retail Stores,12.7,12.7,5188392.0,1466026152.0,15.0,https://api.nasdaq.com/api/quote/KSS/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/KSS/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/KSS/overview,TRUE,0,,86.54,56.72,75.0,31.79,156.02,54.15,,,cache,TRUE,,3847,9864,0.13,1470000000.0,,,86.54,75.0,1000,1000,1000000000.0,1470000000.0,PASS,
NOK,NOKIA CORP,NYSE,Technology,Radio And Television Broadcasting And Communications Equipment,14.18,14.18,127727733.0,88832448097.0,12.85,https://api.nasdaq.com/api/quote/NOK/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/NOK/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/NOK/overview,TRUE,0,,75.11,72.68,95.0,41.58,145.78,24.81,,,cache,TRUE,,150035,160676,0.040000000000000036,86520000000.0,,,75.11,75.0,1000,1000,1000000000.0,86520000000.0,PASS,
OKLO,Oklo Inc.,NYSE,Utilities,Electric Utilities: Central,65.09,65.09,11410682.0,11462526224.0,85.0,https://api.nasdaq.com/api/quote/OKLO/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/OKLO/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/OKLO/overview,TRUE,0,,88.92,115.41,14.0,19.15,146.45,75.29,,,cache,TRUE,,39757,51312,0.38000000000000034,11460000000.0,,,88.92,75.0,1000,1000,1000000000.0,11460000000.0,PASS,
PATH,"UiPath, Inc.",NYSE,Technology,Computer Software: Prepackaged Software,10.57,10.57,39347027.0,5688446329.0,13.0,https://api.nasdaq.com/api/quote/PATH/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/PATH/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/PATH/overview,TRUE,0,,96.42,53.99,96.0,84.99,108.06,30.46,,,cache,TRUE,,23032,49139,0.030000000000000027,5690000000.0,,,96.42,75.0,1000,1000,1000000000.0,5690000000.0,PASS,
PL,Planet Labs PBC,NYSE,Technology,Radio And Television Broadcasting And Communications Equipment,42.48,42.48,9811856.0,15351709347.0,35.0,https://api.nasdaq.com/api/quote/PL/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/PL/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/PL/overview,TRUE,0,,133.52,83.34,97.0,93.23,138.26,68.25,,,cache,TRUE,,7913,15976,0.25,15350000000.0,,,133.52,75.0,1000,1000,1000000000.0,15350000000.0,PASS,
PUMP,ProPetro Holding Corp.,NYSE,Energy,Oilfield Services/Equipment,17.44,17.44,7855530.0,2078357743.0,20.0,https://api.nasdaq.com/api/quote/PUMP/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/PUMP/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/PUMP/overview,TRUE,0,,89.62,59.85,87.0,45.86,142.79,44.58,,,cache,TRUE,,14243,42459,0.20000000000000018,2080000000.0,,,89.62,75.0,1000,1000,1000000000.0,2080000000.0,PASS,
QBTS,D-Wave Quantum Inc.,NYSE,Technology,EDP Services,25.74,25.74,141703219.0,10782085469.0,37.0,https://api.nasdaq.com/api/quote/QBTS/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/QBTS/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/QBTS/overview,TRUE,0,,116.74,137.15,83.0,48.78,159.78,75.74,,,cache,TRUE,,99918,50894,0.21999999999999997,10880000000.0,,,116.74,75.0,1000,1000,1000000000.0,10880000000.0,PASS,
RBRK,"Rubrik, Inc.",NYSE,Technology,Computer Software: Prepackaged Software,64.79,64.79,2430289.0,13704876979.0,84.0,https://api.nasdaq.com/api/quote/RBRK/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/RBRK/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/RBRK/overview,TRUE,0,,89.38,54.09,92.0,85.74,97.71,39.26,,,cache,TRUE,,2436,4660,0.4500000000000002,13700000000.0,,,89.38,75.0,1000,1000,1000000000.0,13700000000.0,PASS,
RDW,Redwire Corp,NYSE,Industrials,Military/Government/Technical,15.35,15.35,55447735.0,3479088553.0,15.0,https://api.nasdaq.com/api/quote/RDW/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/RDW/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/RDW/overview,TRUE,0,,140.96,130.39,100.0,100.0,140.96,66.95,,,cache,TRUE,,21952,31657,0.6000000000000001,3480000000.0,,,140.96,75.0,1000,1000,1000000000.0,3480000000.0,PASS,
SMR,NUSCALE POWER Corp,NYSE,Industrials,Metal Fabrications,11.33,11.33,30207996.0,4166485178.0,19.0,https://api.nasdaq.com/api/quote/SMR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/SMR/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/SMR/overview,TRUE,0,,100.15,111.88,41.0,40.72,138.87,73.57,,,cache,TRUE,,15619,32974,0.23000000000000004,4170000000.0,,,100.15,75.0,1000,1000,1000000000.0,4170000000.0,PASS,
SOC,Sable Offshore Corp.,NYSE,Energy,Oil & Gas Production,14.57,14.57,2110112.0,2275309293.0,24.0,https://api.nasdaq.com/api/quote/SOC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/SOC/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/SOC/overview,TRUE,0,,115.48,71.08,40.0,35.33,203.4,67.45,,,cache,TRUE,,1236,7042,0.32000000000000006,2280000000.0,,,115.48,75.0,1000,1000,1000000000.0,2280000000.0,PASS,
UEC,URANIUM ENERGY CORP,NYSE,Basic Materials,Other Metals and Minerals,13.1,13.1,7927987.0,6382674595.0,19.0,https://api.nasdaq.com/api/quote/UEC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/UEC/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/UEC/overview,TRUE,0,,85.38,85.0,64.0,50.89,112.81,56.95,,,cache,TRUE,,5598,12047,0.18000000000000005,6380000000.0,,,85.38,75.0,1000,1000,1000000000.0,6380000000.0,PASS,
UUUU,ENERGY FUELS INC,NYSE,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),17.86,17.86,8921241.0,4507600680.0,28.0,https://api.nasdaq.com/api/quote/UUUU/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/UUUU/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/UUUU/overview,TRUE,0,,82.82,86.66,15.0,15.88,187.16,63.13,,,cache,TRUE,,8712,19745,0.05999999999999994,4510000000.0,,,82.82,75.0,1000,1000,1000000000.0,4510000000.0,PASS,
VG,"Venture Global, Inc.",NYSE,Utilities,Oil/Gas Transmission,13.56,13.56,11202258.0,34358671555.0,16.0,https://api.nasdaq.com/api/quote/VG/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/VG/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/VG/overview,TRUE,0,,78.01,84.0,36.0,47.38,114.23,45.39,,,cache,TRUE,,6078,18232,0.15000000000000002,34360000000.0,,,78.01,75.0,1000,1000,1000000000.0,34360000000.0,PASS,
VOYG,"Voyager Technologies, Inc./DE",NYSE,Industrials,Military/Government/Technical,40.1,40.1,3050940.0,2645462242.0,39.0,https://api.nasdaq.com/api/quote/VOYG/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/VOYG/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/VOYG/overview,TRUE,0,,111.41,92.0,95.0,73.43,127.59,66.69,,,cache,TRUE,,5322,8379,1.5,2650000000.0,,,111.41,75.0,1000,1000,1000000000.0,2650000000.0,PASS,
VSCO,Victoria's Secret & Co.,NYSE,Consumer Discretionary,Clothing/Shoe/Accessory Stores,50.55,50.55,2012077.0,4165876287.0,67.0,https://api.nasdaq.com/api/quote/VSCO/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/VSCO/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/VSCO/overview,TRUE,0,,86.22,50.73,96.0,77.14,96.68,50.92,,,cache,TRUE,,2397,14070,0.7000000000000002,4170000000.0,,,86.22,75.0,1000,1000,1000000000.0,4170000000.0,PASS,
VSH,VISHAY INTERTECHNOLOGY INC,NYSE,Technology,Electrical Products,42.17,42.17,9104406.0,6431000326.0,28.0,https://api.nasdaq.com/api/quote/VSH/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/VSH/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/VSH/overview,TRUE,0,,92.9,64.7,99.0,91.75,97.96,36.64,,,cache,TRUE,,5735,9789,0.5,6430000000.0,,,92.9,75.0,1000,1000,1000000000.0,6430000000.0,PASS,
WOLF,"WOLFSPEED, INC.",NYSE,Technology,Semiconductors,69.5,69.5,10944558.0,3378418371.0,40.0,https://api.nasdaq.com/api/quote/WOLF/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/WOLF/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/WOLF/overview,TRUE,0,,136.46,135.97,56.0,16.98,455.56,71.21,,,cache,TRUE,,5391,16499,3.1000000000000005,3380000000.0,,,136.46,75.0,1000,1000,1000000000.0,3380000000.0,PASS,
YSS,York Space Systems Inc.,NYSE,Industrials,Military/Government/Technical,28.45,28.45,1380196.0,3765030116.0,35.5,https://api.nasdaq.com/api/quote/YSS/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/YSS/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/YSS/overview,TRUE,0,,111.97,139.46,1.0,3.15,151.85,110.67,,,cache,TRUE,,1722,7749,0.6999999999999997,3770000000.0,,,111.97,75.0,1000,1000,1000000000.0,3770000000.0,PASS,
