symbol,name,master_exchange,sector,industry,price_proxy,previous_close,share_volume,market_cap,one_yr_target,url,json_path,barchart_url,barchart_fetch_ok,barchart_fetch_round,barchart_fetch_error,barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank,barchart_iv_high,barchart_iv_low,barchart_expected_move,barchart_missing_fields,stage1_step4_implied_volatility,stage1_step4_min_implied_volatility,stage1_step4_verdict,stage1_step4_fail_reason
CIFR,Cipher Digital Inc.,NASDAQ,Finance,Finance: Consumer Services,21.52,21.52,19436524.0,8986810858.0,28.0,https://api.nasdaq.com/api/quote/CIFR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CIFR/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/CIFR/overview,TRUE,0,,99.04,99.41,16.0,14.78,177.16,85.5,,,99.04,75.0,PASS,
CLSK,"CLEANSPARK, INC.",NASDAQ,Finance,Finance: Consumer Services,15.76,15.76,21146824.0,4098039438.0,21.5,https://api.nasdaq.com/api/quote/CLSK/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CLSK/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/CLSK/overview,TRUE,0,,87.63,70.0,34.0,31.71,137.89,64.29,,,87.63,75.0,PASS,
CMPS,COMPASS Pathways plc,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,11.59,11.59,3871019.0,1593751469.0,18.0,https://api.nasdaq.com/api/quote/CMPS/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CMPS/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/CMPS/overview,TRUE,0,,80.38,126.61,9.0,4.29,287.3,71.12,,,80.38,75.0,PASS,
CRML,Critical Metals Corp.,NASDAQ,Basic Materials,Metal Mining,11.14,11.14,10149001.0,1385988853.0,20.0,https://api.nasdaq.com/api/quote/CRML/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CRML/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/CRML/overview,TRUE,0,,110.97,157.02,5.0,9.35,326.89,88.7,,,110.97,75.0,PASS,
CRVS,"Corvus Pharmaceuticals, Inc.",NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,13.08,13.08,1180605.0,1060380247.0,31.5,https://api.nasdaq.com/api/quote/CRVS/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CRVS/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/CRVS/overview,TRUE,0,,76.58,93.77,1.0,1.8,212.2,74.09,,,76.58,75.0,PASS,
CSIQ,Canadian Solar Inc.,NASDAQ,Technology,Semiconductors,18.1,18.1,3248167.0,1280379749.0,15.15,https://api.nasdaq.com/api/quote/CSIQ/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CSIQ/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/CSIQ/overview,TRUE,0,,96.88,88.21,85.0,68.3,116.62,54.35,,,96.88,75.0,PASS,
DFTX,"Definium Therapeutics, Inc.",NASDAQ,Health Care,Medicinal Chemicals and Botanical Products,22.65,22.65,1277898.0,2454002618.0,38.0,https://api.nasdaq.com/api/quote/DFTX/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/DFTX/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/DFTX/overview,TRUE,0,,95.63,54.06,89.0,68.32,111.14,62.19,,,95.63,75.0,PASS,
DYN,"Dyne Therapeutics, Inc.",NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,17.37,17.37,1448086.0,2871500637.0,39.5,https://api.nasdaq.com/api/quote/DYN/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/DYN/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/DYN/overview,TRUE,0,,115.67,57.98,39.0,23.89,253.75,72.33,,,115.67,75.0,PASS,
ENPH,"Enphase Energy, Inc.",NASDAQ,Technology,Semiconductors,62.34,62.34,10996353.0,8439040027.0,37.0,https://api.nasdaq.com/api/quote/ENPH/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ENPH/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/ENPH/overview,TRUE,0,,101.31,94.02,99.0,90.39,106.4,53.42,,,101.31,75.0,PASS,
EQPT,EquipmentShare.com Inc,NASDAQ,Consumer Discretionary,Diversified Commercial Services,19.97,19.97,1854079.0,5231735761.0,40.0,https://api.nasdaq.com/api/quote/EQPT/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/EQPT/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/EQPT/overview,TRUE,0,,86.95,92.22,74.0,47.5,126.18,51.46,,,86.95,75.0,PASS,
